data,Stock,value
2020-01-02,VALE3,13.449999809265135
2020-01-03,VALE3,13.289999961853027
2020-01-06,VALE3,13.140000343322756
2020-01-07,VALE3,13.229999542236328
2020-01-08,VALE3,13.220000267028807
2020-01-09,VALE3,12.989999771118164
2020-01-10,VALE3,12.970000267028807
2020-01-13,VALE3,13.31999969482422
2020-01-14,VALE3,13.449999809265135
2020-01-15,VALE3,13.260000228881836
2020-01-16,VALE3,13.15999984741211
2020-01-17,VALE3,13.630000114440918
2020-01-21,VALE3,13.25
2020-01-22,VALE3,13.420000076293945
2020-01-23,VALE3,13.300000190734865
2020-01-24,VALE3,12.84000015258789
2020-01-27,VALE3,12.0
2020-01-28,VALE3,12.18000030517578
2020-01-29,VALE3,11.949999809265135
2020-01-30,VALE3,12.010000228881836
2020-01-31,VALE3,11.729999542236328
2020-02-03,VALE3,11.899999618530273
2020-02-04,VALE3,12.229999542236328
2020-02-05,VALE3,12.4399995803833
2020-02-06,VALE3,12.399999618530273
2020-02-07,VALE3,12.039999961853027
2020-02-10,VALE3,11.600000381469727
2020-02-11,VALE3,11.920000076293945
2020-02-12,VALE3,12.119999885559082
2020-02-13,VALE3,11.93000030517578
2020-02-14,VALE3,11.869999885559082
2020-02-18,VALE3,12.020000457763672
2020-02-19,VALE3,12.050000190734865
2020-02-20,VALE3,11.850000381469727
2020-02-21,VALE3,11.420000076293945
2020-02-27,VALE3,9.920000076293944
2020-02-28,VALE3,9.81999969482422
2020-03-02,VALE3,10.270000457763672
2020-03-03,VALE3,10.220000267028807
2020-03-04,VALE3,10.5600004196167
2020-03-05,VALE3,10.119999885559082
2020-03-06,VALE3,9.529999732971193
2020-03-09,VALE3,7.96999979019165
2020-01-02,PETR4,16.270000457763672
2020-01-03,PETR4,15.989999771118164
2020-01-06,PETR4,16.219999313354492
2020-01-07,PETR4,16.059999465942386
2020-01-08,PETR4,15.699999809265135
2020-01-09,PETR4,15.75
2020-01-10,PETR4,15.640000343322756
2020-01-13,PETR4,15.479999542236328
2020-01-14,PETR4,15.369999885559082
2020-01-15,PETR4,14.869999885559082
2020-01-16,PETR4,14.890000343322756
2020-01-17,PETR4,15.15999984741211
2020-01-21,PETR4,14.770000457763672
2020-01-22,PETR4,14.770000457763672
2020-01-23,PETR4,14.90999984741211
2020-01-24,PETR4,14.770000457763672
2020-01-27,PETR4,14.210000038146973
2020-01-28,PETR4,14.5
2020-01-29,PETR4,14.369999885559082
2020-01-30,PETR4,14.489999771118164
2020-01-31,PETR4,14.109999656677244
2020-02-03,PETR4,14.199999809265135
2020-02-04,PETR4,14.369999885559082
2020-02-05,PETR4,14.43000030517578
2020-02-06,PETR4,14.630000114440918
2020-02-07,PETR4,14.579999923706055
2020-02-10,PETR4,14.399999618530273
2020-02-11,PETR4,14.81999969482422
2020-02-12,PETR4,14.920000076293945
2020-02-13,PETR4,14.630000114440918
2020-02-14,PETR4,14.640000343322756
2020-02-18,PETR4,14.5600004196167
2020-02-19,PETR4,14.890000343322756
2020-02-20,PETR4,14.399999618530273
2020-02-21,PETR4,14.029999732971193
2020-02-27,PETR4,12.079999923706055
2020-02-28,PETR4,12.100000381469727
2020-03-02,PETR4,12.489999771118164
2020-03-03,PETR4,12.15999984741211
2020-03-04,PETR4,12.329999923706055
2020-03-05,PETR4,11.739999771118164
2020-03-06,PETR4,10.520000457763672
2020-03-09,PETR4,7.260000228881836
2020-01-02,DOLAR,4.0163002014160165
2020-01-03,DOLAR,4.023399829864502
2020-01-06,DOLAR,4.057000160217285
2020-01-07,DOLAR,4.0604000091552725
2020-01-08,DOLAR,4.066199779510498
2020-01-09,DOLAR,4.06279993057251
2020-01-10,DOLAR,4.092100143432616
2020-01-13,DOLAR,4.070499897003174
2020-01-14,DOLAR,4.1458001136779785
2020-01-15,DOLAR,4.131299972534181
2020-01-16,DOLAR,4.1742000579833975
2020-01-17,DOLAR,4.183599948883057
2020-01-21,DOLAR,4.188499927520752
2020-01-22,DOLAR,4.210899829864502
2020-01-23,DOLAR,4.181300163269043
2020-01-24,DOLAR,4.169099807739259
2020-01-27,DOLAR,4.1595001220703125
2020-01-28,DOLAR,4.206099987030028
2020-01-29,DOLAR,4.193399906158446
2020-01-30,DOLAR,4.228899955749512
2020-01-31,DOLAR,4.242199897766113
2020-02-03,DOLAR,4.282599925994873
2020-02-04,DOLAR,4.246799945831299
2020-02-05,DOLAR,4.253699779510498
2020-02-06,DOLAR,4.23360013961792
2020-02-07,DOLAR,4.280799865722656
2020-02-10,DOLAR,4.3204002380371085
2020-02-11,DOLAR,4.320974826812743
2020-02-12,DOLAR,4.327530860900879
2020-02-13,DOLAR,4.354499816894531
2020-02-14,DOLAR,4.346766948699951
2020-02-18,DOLAR,4.326499938964844
2020-02-19,DOLAR,4.354800224304198
2020-02-20,DOLAR,4.363999843597412
2020-02-21,DOLAR,4.3923001289367685
2020-02-27,DOLAR,4.4491000175476065
2020-02-28,DOLAR,4.484799861907959
2020-03-02,DOLAR,4.441299915313722
2020-03-03,DOLAR,4.472400188446045
2020-03-04,DOLAR,4.513199806213379
2020-03-05,DOLAR,4.583399772644043
2020-03-06,DOLAR,4.606200218200684
2020-03-09,DOLAR,4.589799880981445
